seq,typeID,typeName,typeTopic,authorOrig,authorEdit,name,fileName
39,25,Network Models,Transportation ,Athira Praveen,jiaru Yang,Busville,Ex42
40,26,Network Models,Shortest Path ,Ramesh Alla,Goutham Sai Dommaraju,BikeRoute,Ex26
41,26,Network Models,Shortest Path ,Ramesh Alla,Juqin Liu,NewYork,Ex43
42,27,Network Models,Assignment ,Athira Praveen,Juan Marquez Mendez,Donuts,Ex27
43,27,Network Models,Assignment ,Athira Praveen,Dnyanraj Nimbalkar,Transportation,Ex27
44,28,Network Models,Assignment ,Ramesh Alla,Yuxuan Rao,Car,Ex28
45,29,Network Models,Transshipment ,Athira Praveen,Noah Cornleius,Mesa,Ex29
46,29,Network Models,Transshipment ,Athira Praveen,jiawang tang,Sunco,Ex55
47,30,Network Models,Transshipment ,Ramesh Alla,Ankita Aggarwal,Balloons,Ex30
48,31,Network Models,Assignment ,Ramesh Alla,Naga Phanee Manthina,Infosis,Ex31
49,33,Network Models,Assignment ,Ramesh Alla,Ziqi Liu,Dessert,Ex33
50,33,Network Models,Assignment ,Ramesh Alla,Praveen Meenakshi Prasad,Project,Ex33
51,35,Network Models,Assignment ,Ramesh Alla,Zhixin Wang,Kellwood,Ex80
52,36,Network Models,Assignment ,Athira Praveen,Jill Nguyen,Properties,Ex36 
